Sentence	Subjectivity	Positivity	Negativity
UPDATE 1-Handball-Several Montpellier players arrested	1	1	1
PARIS  Sept 30 (Reuters) - Several Montpellier handball players have been arrested after an investigation into an alleged match-fixing scandal  a police source told Reuters on Sunday 	1	1	2
They were expected to be transferred to the Paris suburb of Nanterre for questioning by police  the source added 	2	1	1
A judicial source said on Tuesday that French champions Montpellier were involved in an investigation relating to a first division match they lost at Cesson-Sevinge on May 12 	2	1	1
Club president Remy Levy told the local newspaper Le Midi Libre that he had been spoken to as part of the investigation but denied the club had been involved in match-fixing 	2	1	1
Montpellier  the 2003 European champions  have been the French champions every year since 2008 	1	1	1
Lady Gaga's Facebook page has lost the equivalent of three Madison Square Gardens packed full of little monsters this week 	2	1	1
Facebook began removing fake likes from brand pages on the social network earlier this week as part of a continued effort to boost the site's integrity 	2	4	1
The other three pages were for games: Texas Holdem  CityVille and Mafia Wars 	1	2	1
Texas Holdem's Facebook page lost nearly 200 000 fans in this time period  by far the biggest overall decline of any page 	1	1	2
CityVille's page lost 72 631 fans  making it the second biggest decline 	1	1	2
Don't feel too bad for these accounts though 	5	3	1
When Facebook announced the decision to eliminate likes  it said brand pages would lose less than 1% of their total fans on average and sure enough  that appears to be the case 	3	4	1
Just a few brand pages in the top 500 lost between 1%-2% of their fans  including Breaking News and Air New Zealand 	1	3	2
FanPageList found that most of these brands lost far fewer fans Thursday than during the previous two days 	4	3	1
Here are the 10 pages that lost the most total fans this week following Facebook's purge:	1	1	3
10 Surprising Things You Should Put on Your Résumé	3	1	1
Figuring out what to include on your résumé can be a real headache 	2	1	2
Too much information  and you risk overwhelming the reader 	2	1	2
The trick to striking the right balance is including the most effective information  especially things that might catch a hiring manager's eye 	3	1	1
Here are 10 surprising items you might want to include on your résumé 	2	1	1
"Every job seeker wants to find common ground and a connection to the company or hiring manager  said Chris Westfall  a professional development coach and author of ""The New Elevator Pitch"" (Marie Street Press  2012) "	2	1	1
"What better way to make a connection than through the causes that you support?	3	2	1
3 10-surprising-things-put-r-sum-154737905 If you support causes that are not encouraged by your employer  that's something you need to know before you accept the job!"	2	1	1
